Name,Market Cap
TMUS,145851842560
AWK,31782928384
JBHT,20685099008
ODFL,40819679232
URI,27349510144
MO,81827790848
PM,142684340224
PBCT,7784077312
AAPL,2634471178240
HPE,19079636992
HPQ,37731577856
NTAP,19527632896
STX,23173390336
WDC,17069431808
XRX,3685382656
CDW,27372025856
FTNT,56101367808
MSFT,2570298851328
NOW,133443264512
NUE,33425328128
AZO,40414814208
KMX,23826571264
GPC,19652526080
ORLY,45045325824
TSCO,26420131840
ULTA,22468425728
ALB,32058865664
CE,18861522944
DD,42315931648
ECL,66017132544
IFF,37339492352
LYB,30513145856
PPG,38491725824
SHW,87960297472
AMT,117748072448
CCI,79233392640
DLR,46264909824
EQIX,71022534656
EXR,27188238336
IRM,13687882752
PSA,58766360576
SBAC,37750267904
WY,28425216000
HRB,4397887488
KO,238910193664
MNST,47248154624
PEP,225785970688
AMD,188352413696
ADI,69372674048
AVGO,235822120960
INTC,200607842304
MCHP,22787866624
MU,86371770368
NVDA,197335252992
QRVO,17601851392
QCOM,210168971264
SWKS,26928318464
TXN,178674188288
XLNX,54233088000
AMAT,145085349888
KLAC,64875073536
LRCX,90677166080
FRT,10089411584
KIM,10437692416
O,26538342400
REG,12698883072
SPG,55647940608
CMG,50084528128
DRI,19092611072
MCD,189140189184
SBUX,133030076416
YUM,37836406784
AIV,1199027328
AVB,34359580672
EQR,32916180992
ESS,22789914624
MAA,23359926272
UDR,16827576320
EFX,35195289600
INFO,55099432960
NLSN,7589381120
VRSK,36749275136
RE,10998912000
CFG,21356128256
FITB,30990958592
FRC,38618284032
HBAN,23883898880
KEY,22972184576
MTB,20510019584
PNC,85358215168
RF,22974711808
SIVB,40463118336
TFC,83205873664
ZION,10847895552
CBRE,33434793984
CSX,27425454080
KSU,27864811520
NSC,69021474816
UNP,159592153088
NWSA,13364084736
NWS,14361541632
ALL,33843267584
AIG,48158871552
CB,86309191680
CINF,19122212864
HIG,25181966336
PGR,53098414080
TRV,39236083712
WRB,14523955200
ABBV,206771372032
JNJ,427664146432
LLY,250622001152
MRK,210287575040
PRGO,5559058432
PFE,287777226752
ZTS,107078950912
COTY,8250972672
EL,125864173568
PG,360183562240
AMCR,18532315136
AVY,18243430400
IP,19026763776
PKG,12597167104
SEE,9908996096
WRK,12648815616
CPB,12420338688
CAG,15130731520
GIS,38367178752
HSY,37282050048
HRL,23103236096
SJM,13635092480
K,21250355200
KHC,43262812160
LW,8323446272
MKC,22317625344
MDLZ,87569620992
TSN,30116485120
KMI,36867366912
OKE,28313876480
WMB,33976834048
HFC,5285895680
MPC,40878456832
PSX,32275177472
VLO,29823129600
APA,10424495104
COG,8887095296
XEC,0
COP,98129829888
DVN,29323307008
FANG,19538817024
EOG,52306444288
MRO,12705027072
OXY,28599957504
PXD,43840614400
BKR,24925249536
HAL,20250003456
NOV,4910382592
SLB,44550795264
FTI,2951875584
HP,2822507008
ARE,30445238272
BXP,18616506368
SLG,5256435200
VNO,8673363968
AEE,21573783552
CNP,14572770304
CMS,17497858048
DTE,21577314304
ES,28579805184
EXC,52317949952
NEE,171823022080
NI,9852490752
PNW,7425780736
SRE,37541867520
XEL,34622857216
BRK-B,642073034752
AIZ,9705192448
LNC,13594535936
L,14919447552
FOXA,22452375552
FOX,22063685632
LYV,24702433280
NFLX,302409744384
VIAC,22250526720
DIS,282677968896
HOG,5834698240
BLL,30928187392
ANTM,104272879616
CNC,43920736256
CI,74943750144
HUM,57536372736
UNH,424165736448
ILMN,54884323328
IQV,51096821760
MTD,35930746880
TMO,250606452736
AFL,37993385984
GL,9599386624
MET,54985154560
PFG,19372695552
PRU,43044499456
UNM,5265332736
HAS,13733513216
ACN,235685183488
CTSH,42741469184
DXC,8180105728
IT,28845092864
IBM,104238399488
LDOS,12886514688
SCHW,154152517632
GS,132972642304
MS,181742419968
RJF,13451847680
AKAM,18046982144
ADP,101252014080
VRSN,27143432192
AMZN,1864011743232
BKNG,97540628480
EBAY,50903900160
EXPE,25945427968
GOOGL,2028258852864
GOOG,1981588307968
FB,960341999616
TWTR,38788968448
ATVI,48695656448
EA,39499677696
TTWO,20213753856
T,174144585728
VZ,212137181184
CVX,220666462208
XOM,269295484928
HES,24901910528
AON,66527502336
AJG,31892363264
MMC,85179113472
WLTW,29463506944
DRE,21835376640
PLD,111395020800
CMI,33348907008
DOV,25414631424
FLS,4223509248
FTV,26665693184
GWW,25131137024
IEX,17907566592
ITW,76118327296
IR,25544687616
PH,42885308416
PNR,12908908544
SNA,11668300800
SWK,31057104896
XYL,23448670208
APD,67180711936
LIN,172129927168
MMM,103628505088
GE,883745685504
HON,153288507392
ROP,51215613952
AES,16348700672
NRG,8823382016
COST,234264231936
WMT,401155784704
RHI,13204400128
NWL,9645804544
CHD,22371340288
CLX,20617146368
CL,64623575040
KMB,44895330304
WHR,14379280384
CCL,24941813760
HLT,39994699776
MAR,50711760896
NCLH,8723019776
RCL,21114120192
HST,12222348288
DHI,36711690240
LEN,34051454976
NVR,18585595904
PHM,13605861376
HD,431524085760
LOW,174870446080
LEG,5679723008
MHK,12168227840
CERN,22170904576
ALGN,54115983360
COO,19939983360
XRAY,11695295488
CVS,125521780736
LH,28087771136
DGX,17969887232
PEAK,18771073024
VTR,19991263232
WELL,35969433600
DVA,10796292096
HCA,80431833088
UHS,10711618560
ABT,226793291776
ABMD,15672674304
A,49409826816
BAX,39780622336
BDX,72518369280
BSX,58555699200
DHR,223006670848
EW,72750178304
HOLX,18771630080
IDXX,54067965952
ISRG,42533949440
MDT,159877054464
PKI,20994643968
RMD,38294515712
STE,23324370944
SYK,97878597632
TFX,15421323264
ZBH,26871244800
ABC,25820596224
BMY,133200740352
CAH,14313000960
HSIC,11112929280
MCK,35882610688
WAT,21123782656
NEM,45802430464
DG,52517818368
DLTR,31139823616
KSS,9761437696
TGT,124695183360
ATO,12101533696
KR,30967201792
SYY,38332841984
CBOE,13816903680
CME,81227735040
ICE,76181635072
MKTX,13933193216
MCO,73951485952
MSCI,54846468096
NDAQ,34246207488
SPGI,111760736256
CF,14494779392
CTVA,35874705408
FMC,13542395904
MOS,13983719424
RSG,43847897088
ROL,17539299328
WM,69435670528
IPGP,8840161280
TEL,54206431232
KEYS,35789586432
ZBRA,32479219712
APH,50653933568
